c_sucu_empr_stock,c_articulo_stock,q_factor_compra,stock_origen,pedido_pendiente,transfer_pendiente,stock
41,90033,12.0,12.0,0.0,0.0,1.0
41,81460,144.0,576.0,0.0,0.0,4.0
82,70382,24.0,24.0,0.0,0.0,1.0
41,70376,16.0,0.0,0.0,0.0,0.0
41,70377,12.0,12.0,0.0,0.0,1.0
41,70378,24.0,120.0,0.0,0.0,5.0
41,70381,72.0,0.0,0.0,0.0,0.0
41,70382,24.0,24.0,0.0,0.0,1.0
41,70384,12.0,0.0,0.0,0.0,0.0
41,70386,24.0,0.0,0.0,0.0,0.0
41,70392,12.0,12.0,0.0,0.0,1.0
41,70393,12.0,0.0,0.0,0.0,0.0
41,70394,12.0,12.0,0.0,0.0,1.0
41,70396,6.0,0.0,0.0,0.0,0.0
41,70397,6.0,0.0,0.0,0.0,0.0
41,70400,6.0,6.0,0.0,0.0,1.0
41,70401,6.0,0.0,0.0,0.0,0.0
41,70505,12.0,12.0,0.0,0.0,1.0
41,70511,4.0,0.0,0.0,0.0,0.0
41,70513,12.0,0.0,0.0,0.0,0.0
41,70514,24.0,24.0,0.0,0.0,1.0
41,70630,6.0,0.0,0.0,0.0,0.0
41,70631,6.0,0.0,0.0,0.0,0.0
41,70727,2.0,2.0,0.0,0.0,1.0
41,70814,12.0,0.0,0.0,0.0,0.0
41,70964,56.0,0.0,0.0,0.0,0.0
41,71100,24.0,0.0,0.0,0.0,0.0
41,72518,6.0,0.0,0.0,0.0,0.0
41,72519,6.0,6.0,0.0,0.0,1.0
41,72520,6.0,0.0,0.0,0.0,0.0
41,72521,6.0,0.0,0.0,0.0,0.0
41,72522,6.0,0.0,0.0,0.0,0.0
41,72523,6.0,0.0,0.0,0.0,0.0
41,72526,6.0,6.0,0.0,0.0,1.0
41,72527,6.0,12.0,0.0,0.0,2.0
41,72542,32.0,0.0,0.0,0.0,0.0
41,72606,8.0,0.0,0.0,0.0,0.0
82,70396,6.0,0.0,0.0,0.0,0.0
82,70397,6.0,0.0,0.0,0.0,0.0
82,70400,6.0,0.0,0.0,0.0,0.0
82,70505,12.0,0.0,0.0,0.0,0.0
82,70511,4.0,0.0,0.0,0.0,0.0
82,70513,12.0,0.0,0.0,0.0,0.0
82,70631,6.0,6.0,0.0,0.0,1.0
82,70814,12.0,12.0,0.0,0.0,1.0
82,72518,6.0,0.0,0.0,0.0,0.0
82,72519,6.0,0.0,0.0,0.0,0.0
82,72521,6.0,6.0,0.0,0.0,1.0
82,72523,6.0,6.0,0.0,0.0,1.0
82,73441,6.0,0.0,0.0,0.0,0.0
82,73519,6.0,6.0,0.0,0.0,1.0
82,73523,6.0,6.0,0.0,0.0,1.0
82,73524,6.0,6.0,0.0,0.0,1.0
